keyid,y_i,d_i,population,network_size,quadrant,count
1,0,66.28630705,general,66.28630705,IK_TK,2
2,5,250.4149378,general,250.4149378,IK_TK,0
3,0,44.19087137,general,44.19087137,IK_TK,0
4,0,103.1120332,general,103.1120332,IK_TK,0
5,9,368.2572614,general,368.2572614,IK_TK,0
6,0,1598.236515,general,1598.236515,IK_TK,8
7,0,14.73029046,general,14.73029046,IK_TK,2
8,0,29.46058091,general,29.46058091,IK_TK,0
9,5,88.38174274,general,88.38174274,IK_TK,1
10,3,382.9875519,general,382.9875519,IK_TK,0
11,6,228.3195021,general,228.3195021,IK_TK,0
12,0,390.3526971,general,390.3526971,IK_TK,9
13,0,110.4771784,general,110.4771784,IK_TK,0
14,2,110.4771784,general,110.4771784,IK_TK,0
15,2,294.6058091,general,294.6058091,IK_TK,0
16,0,117.8423237,general,117.8423237,IK_TK,2
17,4,390.3526971,general,390.3526971,IK_TK,0
18,0,228.3195021,general,228.3195021,IK_TK,0
19,0,58.92116183,general,58.92116183,IK_TK,0
20,0,73.65145228,general,73.65145228,IK_TK,0
21,0,103.1120332,general,103.1120332,IK_TK,0
22,0,309.3360996,general,309.3360996,IK_TK,13
23,0,22.09543568,general,22.09543568,IK_TK,0
24,0,125.2074689,general,125.2074689,IK_TK,1
25,3,147.3029046,general,147.3029046,IK_TK,0
26,0,162.033195,general,162.033195,IK_TK,2
27,50,22.09543568,general,22.09543568,IK_TK,0
28,0,95.74688797,general,95.74688797,IK_TK,2
29,0,51.5560166,general,51.5560166,IK_TK,0
30,0,22.09543568,general,22.09543568,IK_TK,0
31,3,272.5103734,general,272.5103734,IK_TK,2
32,0,44.19087137,general,44.19087137,IK_TK,2
33,0,176.7634855,general,176.7634855,IK_TK,1
34,1,44.19087137,general,44.19087137,IK_TK,1
35,0,390.3526971,general,390.3526971,IK_TK,0
36,0,51.5560166,general,51.5560166,IK_TK,0
37,0,301.9709544,general,301.9709544,IK_TK,0
38,3,287.2406639,general,287.2406639,IK_TK,0
39,0,265.1452282,general,265.1452282,IK_TK,0
40,0,243.0497925,general,243.0497925,IK_TK,0
41,4,272.5103734,general,272.5103734,IK_TK,7
42,4,464.0041494,general,464.0041494,IK_TK,1
43,0,103.1120332,general,103.1120332,IK_TK,1
44,0,66.28630705,general,66.28630705,IK_TK,0
45,0,81.01659751,general,81.01659751,IK_TK,0
46,0,184.1286307,general,184.1286307,IK_TK,0
47,1,44.19087137,general,44.19087137,IK_TK,0
48,0,125.2074689,general,125.2074689,IK_TK,0
49,3,66.28630705,general,66.28630705,IK_TK,0
50,25,88.38174274,general,88.38174274,IK_TK,0
51,0,117.8423237,general,117.8423237,IK_TK,0
52,0,316.7012448,general,316.7012448,IK_TK,0
53,0,103.1120332,general,103.1120332,IK_TK,0
54,0,81.01659751,general,81.01659751,IK_TK,0
55,0,58.92116183,general,58.92116183,IK_TK,0
56,0,81.01659751,general,81.01659751,IK_TK,1
57,10,243.0497925,general,243.0497925,IDK_TK,0
58,5,1244.709544,general,1244.709544,IDK_TK,0
59,0,51.5560166,general,51.5560166,IDK_TK,0
60,0,29.46058091,general,29.46058091,IDK_TK,0
61,0,44.19087137,general,44.19087137,IDK_TK,1
62,0,110.4771784,general,110.4771784,IDK_TK,0
63,0,139.9377593,general,139.9377593,IDK_TK,0
64,0,7.365145228,general,7.365145228,IDK_TK,1
65,0,611.3070539,general,611.3070539,IDK_TK,0
66,2,139.9377593,general,139.9377593,IDK_TK,0
67,5,228.3195021,general,228.3195021,IDK_TK,0
68,0,191.4937759,general,191.4937759,IDK_TK,2
69,4,198.8589212,general,198.8589212,IDK_TK,0
70,0,250.4149378,general,250.4149378,IDK_TK,0
71,1,58.92116183,general,58.92116183,IDK_TK,0
72,0,51.5560166,general,51.5560166,IDK_TK,0
73,1,272.5103734,general,272.5103734,IDK_TK,0
74,0,95.74688797,general,95.74688797,IDK_TK,0
75,2,169.3983402,general,169.3983402,IDK_TK,0
76,0,198.8589212,general,198.8589212,IDK_TK,0
77,0,66.28630705,general,66.28630705,IDK_TK,0
78,2,434.5435685,general,434.5435685,IDK_TK,0
79,0,95.74688797,general,95.74688797,IDK_TK,0
80,0,117.8423237,general,117.8423237,IDK_TK,0
81,0,316.7012448,general,316.7012448,IDK_TK,0
82,0,73.65145228,general,73.65145228,IDK_TK,0
83,0,117.8423237,general,117.8423237,IDK_TK,0
84,0,324.06639,general,324.06639,IDK_TK,1
85,1,139.9377593,general,139.9377593,IDK_TK,0
86,0,58.92116183,general,58.92116183,IDK_TK,0
87,1,250.4149378,general,250.4149378,IDK_TK,0
88,0,110.4771784,general,110.4771784,IDK_TK,1
89,0,198.8589212,general,198.8589212,IDK_TK,0
90,0,213.5892116,general,213.5892116,IDK_TK,0
91,0,29.46058091,general,29.46058091,IDK_TK,0
