name,actual,estimate,se,CI,CI_min,CI_max
David,2.521126761,1.328276675,0.052904146,0.103692127,,
James,1.394366197,0.952429899,0.044883581,0.08797182,,
Jennifer,1.014084507,1.035714127,0.046785177,0.091698947,,
Susan,0.873239437,0.920397503,0.044129492,0.086493804,,
John,1.85915493,1.383799494,0.053983346,0.105807358,,
Mark,0.816901408,0.941752433,0.044633688,0.087482029,,
Elizabeth,0.76056338,0.954565392,0.044933387,0.088069438,,
Lisa,0.633802817,0.815758344,0.041567239,0.081471789,,
Alan,0.464788732,0.580854109,0.035117018,0.068829355,,
Donald,0.450704225,0.377982269,0.028357142,0.055579999,,
Sandra,0.366197183,0.369440297,0.028036093,0.054950743,,
Cynthia,0.338028169,0.493298894,0.032376531,0.063458001,,
Keith,0.338028169,0.516789317,0.033134524,0.064943668,,
Andrea,0.309859155,0.369440297,0.028036093,0.054950743,,
Emily,0.309859155,0.427098609,0.03013587,0.059066306,,
Gary,0.352112676,0.427098609,0.03013587,0.059066306,,
Janet,0.267605634,0.454860019,0.031095532,0.060947243,,
Wendy,0.253521127,0.456995512,0.031168107,0.061089489,,
Dean,0.070422535,0.160161978,0.018479096,0.036219029,,
Seth,0.070422535,0.19646536,0.020462799,0.040107086,,
Susanne,0.056338028,0.318188464,0.02602551,0.051010001,,
Guy,0.028169014,0.040574368,0.00930651,0.018240759,,
Chantel,0.014084507,0.044845354,0.009783864,0.019176373,,
Jansen,0.014084507,0.010677465,0.004774853,0.009358711,,
